"id","register","numtones","midi","forte","har_18_harmonicity","milne_13_harmonicity","parn_88_root_ambig","parn_94_complex","bowl_18_min_freq_dist","hutch_78_roughness","seth_93_roughness","vass_01_roughness","wang_13_roughness","har_19_corpus","SpecSharp","SpecRolloff","SpecFlux","SpecCentr","SpecIrreg","KeyClar","CorpPop","CorpJazz","CorpClas","TonDiss"
"1167","0","6","52-54-55-57-61-62","6-25A",0.65665271873983,0.57755419938634,-2.50998007960223,0,11.0005066350574,0.880038591026256,5.6169783385289,13.4033289474905,1.50141599743495,-11.2403421635513,0.766316,1087.76,12.1323,705.075,0.429325,0.531131,-10.4880282141244,-10.6748576040526,-9.2578114306014,1
"1168","0","6","52-54-55-57-61-63","6-23",0.563657665415506,0.514644947681036,-2.50998007960223,0.0297603436508559,11.0005066350574,0.865663620733676,5.5691071160454,12.8841445278685,1.40036474611211,-11.2403421635513,0.764183,1103.91,9.9988,716.941,0.408893,0.492405,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1169","0","6","52-54-55-57-61-64","5-25B",0.662947328966243,0.559928584158091,-2.29128784747792,0.0513739241645384,11.0005066350574,0.685204960982892,4.51848419558948,10.3166476400685,1.34809530746023,-11.2403421635513,0.772465,1104.25,9.55564,724.484,0.395441,0.568621,-7.07030153051103,-10.6748576040526,-9.2578114306014,1
"1170","0","6","52-54-55-57-62-63","6-11A",0.603282044728657,0.589384742226676,-2.57518522583686,0,11.0005066350574,0.95426026258427,5.57803704316246,12.8944719234075,1.43245386138823,-11.2403421635513,0.768899,1047.72,12.2932,709.662,0.417343,0.576943,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1171","0","6","52-54-55-57-62-64","5-23B",0.738495545066918,0.634755857196745,-2.35081172990814,0.0732519188745627,11.0005066350574,0.721581332247177,4.42794032677346,9.94531066195036,1.29784988801566,-8.24460988999733,0.776011,1100.55,8.70864,715.816,0.399162,0.644551,-8.23673641551791,-10.6748576040526,-9.2578114306014,1
"1172","0","6","52-54-55-57-63-64","5-10A",0.589737145673663,0.561794504577539,-2.48525060873854,0,11.0005066350574,0.836737681246022,4.60508802325464,10.3004734572547,1.45574018000943,-11.2403421635513,0.774934,1103.91,12.1664,727.754,0.468221,0.615554,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1173","0","6","52-54-55-58-59-60","6-43B",0.603665390317765,0.565908851085954,-2.50998007960223,0,11.0005066350574,1.01860446103245,6.2518088257253,15.5093056220226,1.49918112045443,-11.2403421635513,0.791811,1111.32,9.09723,710.202,0.519673,0.791338,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1174","0","6","52-54-55-58-59-61","6-29",0.58896250222387,0.594130061003606,-2.50998007960223,0.0147058561643846,11.0005066350574,0.875735572655225,5.92739848965258,14.5401188360156,1.33841293013193,-11.2403421635513,0.783813,1112.32,9.12137,705.819,0.462082,0.704773,-11.1811753946843,-8.88309813482457,-9.2578114306014,0
"1175","0","6","52-54-55-58-59-62","6-31B",0.628716295576922,0.567278680374427,-2.64575131106459,0.0179392040209641,11.0005066350574,0.830172068154692,5.74788445075119,13.9816114319354,1.18418990457724,-11.2403421635513,0.785207,992.883,8.99428,698.581,0.464906,0.785129,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1176","0","6","52-54-55-58-59-63","6-19A",0.60930767165259,0.588137971341731,-2.64575131106459,0.0225576385694543,11.0005066350574,0.856137651216323,5.66075781295351,13.5402169595673,1.31292349997956,-11.2403421635513,0.785804,1114.01,9.55688,709.031,0.44919,0.756237,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1177","0","6","52-54-55-58-59-64","5-18B",0.646888291832837,0.640873817526854,-2.5617376914899,0.0662648481676169,11.0005066350574,0.751665855654708,4.72477492799213,11.004182924117,1.1722188623583,-11.2403421635513,0.792237,1114.68,7.92595,713.953,0.413207,0.800878,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1178","0","6","52-54-55-58-60-61","6-30B",0.549774124921417,0.512573488861997,-2.50998007960223,0,11.0005066350574,0.90839167327395,5.93966590098889,14.3466907707898,1.46840322559886,-11.2403421635513,0.792234,1114.68,9.91931,725.18,0.396095,0.432309,-10.4880282141244,-8.18995095426462,-9.2578114306014,0
"1179","0","6","52-54-55-58-60-62","6-34B",0.606672529396742,0.558379921675964,-2.44948974278318,0.0196138711912993,11.0005066350574,0.834961095467571,5.70203803595203,13.4252152986747,1.35010880598648,-11.2403421635513,0.795472,1050.42,8.79136,719.476,0.411074,0.508895,-9.79488103356445,-5.54495888912955,-9.2578114306014,0
"1180","0","6","52-54-55-58-60-63","6-49",0.56602467267868,0.514308434158673,-2.50998007960223,0.0163744188966583,11.0005066350574,0.828399917547706,5.61469606703184,13.0710491270502,1.39479507515168,-11.2403421635513,0.794507,1115.02,10.1271,729.77,0.405548,0.471667,-11.1811753946843,-9.98171042349268,-9.2578114306014,0
"1181","0","6","52-54-55-58-60-64","5-28A",0.60852215225458,0.576912600514051,-2.29128784747792,0.0798425766004945,11.0005066350574,0.716559004512846,4.67143362364897,10.5393281091186,1.3296033373687,-11.2403421635513,0.803851,1115.35,8.34039,737.107,0.409538,0.546031,-7.84897088450914,-4.63937617152787,-9.2578114306014,0
"1182","0","6","52-54-55-58-61-62","6-28",0.56660598818269,0.529392356838225,-2.50998007960223,0.000244777511482641,11.0005066350574,0.841738128577235,5.6172440654793,13.3807295437357,1.45279183805388,-11.2403421635513,0.78484,1036.29,11.4852,711.887,0.374229,0.43428,-8.78328012188597,-7.96680740295041,-9.2578114306014,0
"1183","0","6","52-54-55-58-61-63","6-27B",0.551378050596853,0.515281064293327,-2.50998007960223,0.0170098251204882,11.0005066350574,0.803507493460389,5.46574254624226,12.6571780451392,1.38273468588238,-11.2403421635513,0.784446,1114.68,9.62176,720.878,0.360321,0.394809,-11.1811753946843,-6.7045656905005,-9.2578114306014,0
"1184","0","6","52-54-55-58-61-64","5-31B",0.573177439178478,0.583737956074045,-2.29128784747792,0.0214746650698809,11.0005066350574,0.655555385965471,4.51195660276481,10.2410666887066,1.33444226753896,-9.85404780243143,0.791644,1115.02,9.03111,730.634,0.351127,0.473168,-6.41900145988659,-3.1147771390308,-9.2578114306014,0
"1185","0","6","52-54-55-58-62-63","6-15A",0.57979612175203,0.526595386980344,-2.64575131106459,0,11.0005066350574,0.884796859529884,5.48319332901095,12.6697740743011,1.39366436781351,-11.2403421635513,0.787434,1007.69,11.4606,714.857,0.362607,0.477413,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1186","0","6","52-54-55-58-62-64","5-26A",0.634999617188565,0.594692456775593,-2.64575131106459,0.0599425627303174,11.0005066350574,0.684624481448658,4.42993358960042,9.87199834421141,1.25228470452271,-11.2403421635513,0.794241,1095.84,8.55619,723.147,0.351471,0.542166,-11.1811753946843,-7.27366022239047,-9.2578114306014,0
"1187","0","6","52-54-55-58-63-64","5-16A",0.590504840028181,0.55988571539914,-2.41522945769824,0.00213840160863952,11.0005066350574,0.775925165623236,4.50345098932806,10.0227940605412,1.39378408918851,-11.2403421635513,0.792978,1115.35,11.8442,732.482,0.392978,0.507969,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1188","0","6","52-54-55-59-60-61","6-18A",0.637890961639514,0.576571697453899,-2.64575131106459,0,11.0005066350574,0.971103531366338,5.81507896498659,14.1664283379585,1.40367200394562,-11.2403421635513,0.766292,1050.08,10.5527,693.716,0.469724,0.810161,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
